run,ground truth source,prompt name,configuration source,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy
nova-lite-2025-05-31-1011-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 1.0, 24]","[27, 57.9, 100]","[96, 96.9, 100]","[55, 68.8, 96]","[1, 18.0, 79]","[21, 51.9, 86]","[69, 88.2, 100]","[0, 32.4, 100]","[3, 3.8, 16]","[69, 86.1, 99]","[2, 3.7, 47]","[98, 98.3, 100]","[11, 27.0, 100]","[17, 32.4, 100]","[5, 7.0, 42]","[7, 15.7, 54]","[96, 96, 100]","[13, 48.3, 100]","[4, 17.2, 39]","[18, 21.9, 57]","[10, 56.0, 88]","[55, 79.9, 100]","[27, 68.9, 100]","[3, 44.6, 100]",707,473,1048,172,1121.9406729617583,633.0593270382412,1180,1220,707+473/707+473+1048+172,0.49166666666666664,707/707+1048+172,0.3668915412558381
nova-lite-2025-05-31-1632-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 1.0, 20]","[26, 57.6, 100]","[95, 96.2, 100]","[55, 68.7, 97]","[1, 17.8, 78]","[19, 48.5, 84]","[66, 89.2, 99]","[1, 35.4, 100]","[3, 3.8, 18]","[75, 87.5, 100]","[2, 3.7, 44]","[99, 99.1, 100]","[8, 24.6, 99]","[21, 35.9, 100]","[4, 4.7, 41]","[3, 14.3, 54]","[98, 98, 100]","[18, 52.0, 100]","[4, 17.9, 43]","[18, 20.0, 59]","[9, 57.8, 87]","[58, 79.4, 100]","[33, 75.9, 99]","[4, 46.5, 100]",720,476,1033,169,1135.4576346610042,617.5423653389952,1196,1202,720+476/720+476+1033+169,0.4987489574645538,720/720+1033+169,0.37460978147762747
nova-pro-2025-05-31-1234-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 0, 5]","[35, 66.4, 100]","[97, 98.0, 100]","[50, 66.1, 97]","[0, 21.8, 76]","[15, 49.0, 90]","[59, 90.4, 100]","[3, 26.8, 58]","[4, 4, 5]","[78, 91.3, 99]","[1, 1.2, 30]","[90, 90.9, 100]","[60, 68.3, 100]","[56, 68.6, 100]","[3, 13.1, 51]","[3, 12.5, 40]","[100, 100, 100]","[27, 52.8, 100]","[3, 20.6, 40]","[23, 25.5, 54]","[11, 60.6, 88]","[65, 87.8, 100]","[30, 80.0, 100]","[2, 37.1, 100]",815,525,898,120,1232.7263204197825,480.27367958021745,1340,1018,815+525/815+525+898+120,0.5682782018659881,815/815+898+120,0.44462629569012546
nova-pro-2025-05-31-1714-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 0, 15]","[46, 70.8, 100]","[97, 97.7, 100]","[48, 63.5, 97]","[3, 22.5, 78]","[18, 49.8, 89]","[57, 90.4, 100]","[2, 26.6, 61]","[4, 4, 5]","[77, 89.9, 99]","[2, 3.1, 35]","[81, 82.7, 100]","[48, 59.3, 100]","[49, 62.9, 100]","[3, 10.7, 57]","[3, 12.6, 44]","[100, 100, 100]","[22, 54.2, 100]","[3, 22.5, 44]","[21, 23.2, 57]","[11, 58.6, 88]","[65, 86.3, 100]","[38, 83.8, 100]","[3, 39.2, 100]",801,492,915,153,1214.3677659553266,501.6322340446735,1293,1068,801+492/801+492+915+153,0.5476493011435832,801/801+915+153,0.42857142857142855
nova-premium-2025-05-31-1539-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 0, 9]","[34, 48.9, 67]","[67, 67, 67]","[43, 49.2, 63]","[4, 23.2, 55]","[16, 34.6, 55]","[52, 60.9, 67]","[7, 31.8, 55]","[0, 0.9, 1]","[54, 63.6, 67]","[2, 2, 17]","[66, 66.2, 67]","[32, 44.9, 67]","[35, 38.1, 67]","[4, 6.6, 25]","[6, 11.5, 26]","[67, 67, 67]","[21, 42.1, 67]","[5, 17.5, 30]","[12, 13.1, 30]","[7, 40.7, 58]","[45, 62.9, 67]","[35, 56.2, 67]","[4, 34.8, 67]",618,368,545,65,883.5504373103539,279.449562689645,986,610,618+368/618+368+545+65,0.6177944862155389,618/618+545+65,0.503257328990228
nova-premium-2025-05-31-1843-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_repeats.yaml,"[0, 0, 9]","[34, 48.9, 67]","[67, 67, 67]","[43, 49.2, 63]","[4, 23.2, 55]","[16, 34.6, 55]","[52, 60.9, 67]","[7, 31.8, 55]","[0, 0.9, 1]","[54, 63.6, 67]","[2, 2, 16]","[66, 66.2, 67]","[32, 45.0, 67]","[35, 38.1, 67]","[4, 6.6, 25]","[6, 11.5, 26]","[67, 67, 67]","[21, 42.1, 67]","[5, 17.5, 30]","[12, 13.1, 30]","[7, 40.5, 58]","[45, 62.9, 67]","[35, 56.2, 67]","[4, 34.8, 67]",618,369,545,64,883.4915166565255,279.50848334347336,987,609,618+369/618+369+545+64,0.618421052631579,618/618+545+64,0.5036674816625917
