run,ground truth filename,configuration name,errors filename,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,TrueApplicable,TrueN/A,FalseApplicable,FalseN/A,GradedTA,GradedFA,Correct:TA+TN/A,Errors:FA+FN/A,TA+TNA/TA+TNA+FA+FNA,acc1:TA+TNA/TA+TNA+FA+FNA,grdTA+TNA/grdTA+TNA+grdFA+FNA,acc2:grdTP+TN/grdTP+TN+grdFP+FN,TA/TA+FA+FNA,acc3:TA/TA+FA+FNA,grdTA/grdTA+grdFA+FNA,acc4:grdTA/grdTA+grdFA+FNA
Spread_6_11_1050_Spread_6_11_1110_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[40, 66.6, 81]","[65, 81.6, 88]","[82, 85.4, 91]","[68, 75.6, 92]","[70, 88.1, 93]","[80, 90.9, 95]","[99, 99, 99]","[63, 90.1, 93]","[75, 88.6, 93]","[52, 65.4, 76]","[67, 67.9, 77]","[93, 93, 99]","[99, 99.2, 100]","[83, 89.5, 99]","[85, 87.2, 97]","[71, 71.7, 93]","[8, 36.5, 62]","[8, 38.8, 64]","[23, 39.8, 78]","[41, 69.9, 86]","[67, 86.2, 90]","[81, 85.0, 89]","[94, 94.2, 95]","[100, 100, 100]",1077,537,459,57,1353.290485567999,182.70951443200275,1614,516,1077+537/1077+537+459+57,0.7577464788732394,1353+537/1353+537+182+57,0.8877407233442931,1077/1077+459+57,0.6760828625235404,1353/1353+182+57,0.8498743718592965
Spread_6_11_1050_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[8, 10.5, 12]","[57, 61.6, 64]","[80, 80.9, 84]","[56, 56.3, 68]","[49, 52.7, 53]","[69, 73.3, 75]","[100, 100, 100]","[40, 46.3, 47]","[72, 74.7, 77]","[28, 32.8, 39]","[66, 66, 72]","[93, 93, 96]","[99, 99.2, 100]","[78, 79.2, 83]","[75, 76.7, 80]","[66, 66, 76]","[3, 5.6, 8]","[0, 1.8, 4]","[16, 25.3, 50]","[26, 35.5, 42]","[68, 70.7, 72]","[68, 68, 68]","[76, 76.2, 77]","[100, 100, 100]",857,536,128,26,916.2754276307768,68.72457236922267,1393,154,857+536/857+536+128+26,0.9004524886877828,916+536/916+536+68+26,0.9391979301423027,857/857+128+26,0.847675568743818,916/916+68+26,0.906930693069307
Spread_6_11_1050_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[8, 10.5, 12]","[55, 59.6, 62]","[79, 79.9, 83]","[56, 56.5, 69]","[49, 53.3, 54]","[70, 73.4, 75]","[100, 100, 100]","[38, 44.3, 45]","[72, 74.7, 77]","[28, 32.8, 39]","[67, 67, 73]","[93, 93, 96]","[99, 99.2, 100]","[78, 79.0, 82]","[75, 76.7, 80]","[66, 66, 76]","[3, 5.6, 8]","[0, 1.8, 4]","[16, 25.3, 50]","[27, 35.6, 42]","[68, 71.6, 73]","[68, 68, 68]","[74, 74.2, 75]","[100, 100, 100]",853,536,128,26,912.1061094489587,68.89389055104085,1389,154,853+536/853+536+128+26,0.9001944264419961,912+536/912+536+68+26,0.9390402075226978,853/853+128+26,0.8470705064548163,912/912+68+26,0.9065606361829026
Spread_6_11_1110_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[8, 9.8, 12]","[53, 57.6, 60]","[79, 79.9, 83]","[54, 54.3, 66]","[49, 52.9, 54]","[69, 73.3, 75]","[99, 99, 99]","[39, 44.7, 45]","[71, 73.7, 76]","[29, 33.2, 39]","[62, 62, 67]","[92, 92, 95]","[99, 99.2, 100]","[78, 79.2, 83]","[75, 76.7, 82]","[64, 64, 73]","[3, 5.6, 8]","[0, 1.8, 4]","[17, 26.9, 52]","[25, 34.9, 41]","[67, 70.7, 72]","[71, 71, 71]","[76, 76.2, 77]","[100, 100, 100]",850,529,125,30,909.4847603112511,65.51523968874834,1379,155,850+529/850+529+125+30,0.8989569752281616,909+529/909+529+65+30,0.9380300065231572,850/850+125+30,0.845771144278607,909/909+65+30,0.9053784860557769
Spread_6_11_1110_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[8, 9.8, 12]","[51, 55.6, 58]","[78, 78.9, 82]","[54, 54.3, 66]","[49, 53.6, 55]","[70, 73.4, 75]","[99, 99, 99]","[38, 43.7, 44]","[71, 73.7, 76]","[29, 33.2, 39]","[63, 63, 68]","[92, 92, 95]","[99, 99.2, 100]","[78, 79.0, 82]","[76, 77.7, 83]","[64, 64, 73]","[3, 5.6, 8]","[0, 1.8, 4]","[17, 26.9, 52]","[27, 36.9, 43]","[67, 71.6, 73]","[71, 71, 71]","[74, 74.2, 75]","[100, 100, 100]",848,530,125,30,908.0336239476147,64.9663760523847,1378,155,848+530/848+530+125+30,0.8988910632746249,908+530/908+530+64+30,0.9386422976501305,848/848+125+30,0.8454636091724825,908/908+64+30,0.906187624750499
SpreadJun.21.24.1043_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement,field_agreement_errors.txt,"[10, 53.6, 96]","[65, 83.3, 96]","[81, 89.5, 98]","[64, 73.9, 99]","[54, 82.4, 96]","[74, 87.9, 95]","[100, 100, 100]","[47, 88.0, 96]","[81, 91.7, 97]","[47, 65.6, 96]","[81, 81.2, 97]","[96, 96, 100]","[99, 99.2, 100]","[86, 89.7, 97]","[77, 80.4, 99]","[78, 78, 100]","[4, 39.9, 88]","[0, 36.2, 88]","[22, 43.9, 94]","[31, 70.1, 95]","[72, 93.2, 98]","[79, 92.9, 99]","[75, 78.5, 96]","[100, 100, 100]",938,585,743,54,1310.0039656866254,370.99603431337533,1523,797,938+585/938+585+743+54,0.6564655172413794,1310+585/1310+585+370+54,0.8171625700733075,938/938+743+54,0.5406340057636888,1310/1310+370+54,0.7554786620530565
