run,ground truth filename,configuration name,errors filename,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,TrueApplicable,TrueN/A,FalseApplicable,FalseN/A,GradedTA,GradedFA,Correct:TA+TN/A,Errors:FA+FN/A,TA+TNA/TA+TNA+FA+FNA,acc1:TA+TNA/TA+TNA+FA+FNA,grdTA+TNA/grdTA+TNA+grdFA+FNA,acc2:grdTP+TN/grdTP+TN+grdFP+FN,TA/TA+FA+FNA,acc3:TA/TA+FA+FNA,grdTA/grdTA+grdFA+FNA,acc4:grdTA/grdTA+grdFA+FNA
post_Spread_6_11_1050_post_Spread_6_11_1110_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[53, 72.8, 81]","[67, 83.0, 89]","[82, 85.4, 91]","[68, 75.6, 92]","[70, 88.1, 93]","[80, 90.9, 95]","[99, 99, 99]","[63, 90.1, 93]","[75, 88.6, 93]","[54, 66.2, 77]","[67, 67.9, 77]","[93, 93, 99]","[99, 99.2, 100]","[83, 89.5, 99]","[85, 87.2, 97]","[71, 71.7, 93]","[8, 36.5, 62]","[8, 38.8, 64]","[23, 39.8, 78]","[41, 69.9, 86]","[83, 90.5, 95]","[81, 85.0, 89]","[94, 94.2, 95]","[100, 100, 100]",1110,537,433,57,1365.9703732609955,177.02962673900595,1647,490,1110+537/1110+537+433+57,0.7707065980346279,1365+537/1365+537+177+57,0.8904494382022472,1110/1110+433+57,0.69375,1365/1365+177+57,0.8536585365853658
post_Spread_6_11_1050_post_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.7, 12]","[63, 67.7, 70]","[80, 80.9, 84]","[56, 56.3, 68]","[49, 52.7, 53]","[69, 73.3, 75]","[100, 100, 100]","[40, 46.3, 47]","[72, 74.7, 77]","[36, 39.8, 47]","[66, 66, 72]","[93, 93, 96]","[99, 99.2, 100]","[78, 79.2, 83]","[75, 76.7, 80]","[66, 66, 76]","[3, 5.6, 8]","[0, 1.8, 4]","[16, 25.3, 50]","[26, 35.5, 42]","[81, 83.4, 85]","[68, 68, 68]","[76, 76.2, 77]","[100, 100, 100]",885,536,126,27,942.2129276307769,68.78707236922267,1421,153,885+536/885+536+126+27,0.9027954256670903,942+536/942+536+68+27,0.9396058486967578,885/885+126+27,0.8526011560693642,942/942+68+27,0.9083895853423336
post_Spread_6_11_1050_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.7, 12]","[63, 67.7, 70]","[79, 79.9, 83]","[56, 56.5, 69]","[49, 53.3, 54]","[70, 73.4, 75]","[100, 100, 100]","[38, 44.3, 45]","[72, 74.7, 77]","[36, 39.8, 47]","[67, 67, 73]","[93, 93, 96]","[99, 99.2, 100]","[78, 79.0, 82]","[75, 76.7, 80]","[66, 66, 76]","[3, 5.6, 8]","[0, 1.8, 4]","[16, 25.3, 50]","[27, 35.6, 42]","[81, 83.4, 85]","[68, 68, 68]","[74, 74.2, 75]","[100, 100, 100]",883,536,125,27,939.1061094489588,68.89389055104085,1419,152,883+536/883+536+125+27,0.9032463399108848,939+536/939+536+68+27,0.9394904458598726,883/883+125+27,0.8531400966183574,939/939+68+27,0.9081237911025145
post_Spread_6_11_1110_post_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.0, 12]","[60, 64.7, 67]","[79, 79.9, 83]","[54, 54.3, 66]","[49, 52.9, 54]","[69, 73.3, 75]","[99, 99, 99]","[39, 44.7, 45]","[71, 73.7, 76]","[37, 40.7, 48]","[62, 62, 67]","[92, 92, 95]","[99, 99.2, 100]","[78, 79.2, 83]","[75, 76.7, 82]","[64, 64, 73]","[3, 5.6, 8]","[0, 1.8, 4]","[17, 26.9, 52]","[25, 34.9, 41]","[80, 82.4, 84]","[71, 71, 71]","[76, 76.2, 77]","[100, 100, 100]",879,529,123,31,936.0127365017274,65.98726349827214,1408,154,879+529/879+529+123+31,0.9014084507042254,936+529/936+529+65+31,0.9385009609224856,879/879+123+31,0.850919651500484,936/936+65+31,0.9069767441860465
post_Spread_6_11_1110_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.0, 12]","[60, 64.7, 67]","[78, 78.9, 82]","[54, 54.3, 66]","[49, 53.6, 55]","[70, 73.4, 75]","[99, 99, 99]","[38, 43.7, 44]","[71, 73.7, 76]","[37, 40.7, 48]","[63, 63, 68]","[92, 92, 95]","[99, 99.2, 100]","[78, 79.0, 82]","[76, 77.7, 83]","[64, 64, 73]","[3, 5.6, 8]","[0, 1.8, 4]","[17, 26.9, 52]","[27, 36.9, 43]","[80, 82.4, 84]","[71, 71, 71]","[74, 74.2, 75]","[100, 100, 100]",879,530,122,31,935.6241001380911,65.37589986190851,1409,153,879+530/879+530+122+31,0.9020486555697823,935+530/935+530+65+31,0.9385009609224856,879/879+122+31,0.8517441860465116,935/935+65+31,0.906886517943744
post_SpreadJun.21.24.1043_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[11, 54.1, 96]","[72, 86.5, 98]","[81, 89.5, 98]","[64, 73.9, 99]","[54, 82.4, 96]","[74, 87.9, 95]","[100, 100, 100]","[47, 88.0, 96]","[81, 91.7, 97]","[56, 68.8, 96]","[81, 81.2, 97]","[96, 96, 100]","[99, 99.2, 100]","[86, 89.7, 97]","[77, 80.4, 99]","[78, 78, 100]","[4, 39.9, 88]","[0, 36.2, 88]","[22, 43.9, 94]","[31, 70.1, 95]","[89, 95.0, 99]","[79, 92.9, 99]","[75, 78.5, 96]","[100, 100, 100]",972,585,712,54,1318.7627480068659,365.23725199313515,1557,766,972+585/972+585+712+54,0.6702539819199311,1318+585/1318+585+365+54,0.8195521102497847,972/972+712+54,0.5592635212888377,1318/1318+365+54,0.7587795048934945
