run,ground truth filename,configuration name,errors filename,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,TrueApplicable,TrueN/A,FalseApplicable,FalseN/A,GradedTA,GradedFA,Correct:TA+TN/A,Errors:FA+FN/A,TA+TNA/TA+TNA+FA+FNA,acc1:TA+TNA/TA+TNA+FA+FNA,grdTA+TNA/grdTA+TNA+grdFA+FNA,acc2:grdTP+TN/grdTP+TN+grdFP+FN,TA/TA+FA+FNA,acc3:TA/TA+FA+FNA,grdTA/grdTA+grdFA+FNA,acc4:grdTA/grdTA+grdFA+FNA
post_Spread_6_11_1050_post_Spread_6_11_1110_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[53, 72.8, 81]","[67, 83.0, 89]","[10, 13.4, 19]","[68, 75.6, 92]","[70, 88.1, 93]","[80, 90.9, 95]","[4, 4, 4]","[63, 90.1, 93]","[75, 88.6, 93]","[49, 61.2, 72]","[23, 23.9, 33]","[0, 0, 6]","[99, 99.2, 100]","[79, 85.5, 95]","[18, 20.2, 30]","[6, 6.7, 28]","[8, 36.5, 62]","[8, 38.8, 64]","[12, 28.8, 67]","[27, 55.9, 72]","[17, 24.5, 29]","[80, 84.0, 88]","[94, 94.2, 95]","[100, 100, 100]",1110,537,433,57,1365.9703732609955,177.02962673900595,1647,490,1110+537/1110+537+433+57,0.7707065980346279,1365+537/1365+537+177+57,0.8904494382022472,1110/1110+433+57,0.69375,1365/1365+177+57,0.8536585365853658
post_Spread_6_11_1050_post_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.7, 12]","[63, 67.7, 70]","[8, 8.9, 12]","[56, 56.3, 68]","[49, 52.7, 53]","[69, 73.3, 75]","[4, 4, 4]","[40, 46.3, 47]","[72, 74.7, 77]","[31, 34.8, 42]","[16, 16, 22]","[0, 0, 3]","[99, 99.2, 100]","[74, 75.2, 79]","[13, 14.7, 18]","[0, 0, 10]","[3, 5.6, 8]","[0, 1.8, 4]","[8, 17.3, 42]","[13, 22.5, 29]","[15, 17.4, 19]","[67, 67, 67]","[76, 76.2, 77]","[100, 100, 100]",885,536,126,27,942.2129276307769,68.78707236922267,1421,153,885+536/885+536+126+27,0.9027954256670903,942+536/942+536+68+27,0.9396058486967578,885/885+126+27,0.8526011560693642,942/942+68+27,0.9083895853423336
post_Spread_6_11_1050_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.7, 12]","[63, 67.7, 70]","[7, 7.9, 11]","[56, 56.5, 69]","[49, 53.3, 54]","[70, 73.4, 75]","[4, 4, 4]","[38, 44.3, 45]","[72, 74.7, 77]","[31, 34.8, 42]","[17, 17, 23]","[0, 0, 3]","[99, 99.2, 100]","[74, 75.0, 78]","[13, 14.7, 18]","[0, 0, 10]","[3, 5.6, 8]","[0, 1.8, 4]","[8, 17.3, 42]","[14, 22.6, 29]","[15, 17.4, 19]","[67, 67, 67]","[74, 74.2, 75]","[100, 100, 100]",883,536,125,27,939.1061094489588,68.89389055104085,1419,152,883+536/883+536+125+27,0.9032463399108848,939+536/939+536+68+27,0.9394904458598726,883/883+125+27,0.8531400966183574,939/939+68+27,0.9081237911025145
post_Spread_6_11_1110_post_SpreadJun.21.24.1043_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.0, 12]","[60, 64.7, 67]","[7, 7.9, 11]","[54, 54.3, 66]","[49, 52.9, 54]","[69, 73.3, 75]","[4, 4, 4]","[39, 44.7, 45]","[71, 73.7, 76]","[31, 34.7, 42]","[17, 17, 22]","[0, 0, 3]","[99, 99.2, 100]","[74, 75.2, 79]","[13, 14.7, 20]","[0, 0, 9]","[3, 5.6, 8]","[0, 1.8, 4]","[9, 18.9, 44]","[12, 21.9, 28]","[14, 16.4, 18]","[69, 69, 69]","[76, 76.2, 77]","[100, 100, 100]",879,529,123,31,936.0127365017274,65.98726349827214,1408,154,879+529/879+529+123+31,0.9014084507042254,936+529/936+529+65+31,0.9385009609224856,879/879+123+31,0.850919651500484,936/936+65+31,0.9069767441860465
post_Spread_6_11_1110_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[9, 10.0, 12]","[60, 64.7, 67]","[6, 6.9, 10]","[54, 54.3, 66]","[49, 53.6, 55]","[70, 73.4, 75]","[4, 4, 4]","[38, 43.7, 44]","[71, 73.7, 76]","[31, 34.7, 42]","[18, 18, 23]","[0, 0, 3]","[99, 99.2, 100]","[74, 75.0, 78]","[13, 14.7, 20]","[0, 0, 9]","[3, 5.6, 8]","[0, 1.8, 4]","[9, 18.9, 44]","[14, 23.9, 30]","[14, 16.4, 18]","[69, 69, 69]","[74, 74.2, 75]","[100, 100, 100]",879,530,122,31,935.6241001380911,65.37589986190851,1409,153,879+530/879+530+122+31,0.9020486555697823,935+530/935+530+65+31,0.9385009609224856,879/879+122+31,0.8517441860465116,935/935+65+31,0.906886517943744
post_SpreadJun.21.24.1043_post_SpreadJun.26.24.1050_agreed_values.csv,First100BryophytesTyped.csv,field_agreement_with_tolerances,field_agreement_with_tolerances_errors.txt,"[11, 54.1, 96]","[72, 86.5, 98]","[9, 17.5, 26]","[64, 73.9, 99]","[54, 82.4, 96]","[73, 86.9, 94]","[4, 4, 4]","[47, 88.0, 96]","[81, 91.7, 97]","[36, 48.8, 76]","[18, 18.2, 34]","[0, 0, 4]","[99, 99.2, 100]","[80, 83.7, 91]","[13, 16.4, 35]","[3, 3, 25]","[4, 39.9, 88]","[0, 36.2, 88]","[13, 34.9, 85]","[18, 57.1, 82]","[23, 29.0, 33]","[75, 88.9, 95]","[75, 78.5, 96]","[100, 100, 100]",972,585,712,54,1318.7627480068659,365.23725199313515,1557,766,972+585/972+585+712+54,0.6702539819199311,1318+585/1318+585+365+54,0.8195521102497847,972/972+712+54,0.5592635212888377,1318/1318+365+54,0.7587795048934945
