run,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,number valid targets,matches,accuracy: valid fields
Spread_6_11_1050,"[45, 100]","[69, 100]","[11, 28]","[72, 100]","[71, 100]","[80, 99]","[4, 4]","[64, 100]","[77, 100]","[48, 77]","[23, 33]","[0, 1]","[99, 100]","[79, 90]","[18, 25]","[6, 16]","[8, 100]","[9, 100]","[15, 67]","[33, 85]","[2, 34]","[81, 96]","[96, 100]","[100, 100]",1755,1110,0.6324786324786325
Spread_6_11_1110,"[42, 100]","[67, 100]","[11, 28]","[68, 100]","[70, 100]","[80, 99]","[4, 4]","[63, 100]","[76, 100]","[50, 77]","[25, 33]","[0, 1]","[99, 100]","[80, 90]","[18, 25]","[7, 16]","[8, 100]","[12, 100]","[13, 67]","[29, 85]","[1, 34]","[83, 96]","[97, 100]","[100, 100]",1755,1103,0.6284900284900284
Spread_6_12_1404,"[8, 100]","[31, 100]","[7, 28]","[38, 100]","[39, 100]","[46, 99]","[3, 4]","[41, 100]","[66, 100]","[28, 77]","[13, 33]","[0, 1]","[92, 100]","[46, 90]","[11, 25]","[0, 16]","[3, 100]","[5, 100]","[7, 67]","[6, 85]","[5, 34]","[71, 96]","[94, 100]","[100, 100]",1755,760,0.43304843304843305
Spread_6_12_1440,"[7, 100]","[31, 100]","[7, 28]","[37, 100]","[37, 100]","[46, 99]","[3, 4]","[41, 100]","[65, 100]","[29, 77]","[13, 33]","[0, 1]","[92, 100]","[48, 90]","[11, 25]","[0, 16]","[3, 100]","[6, 100]","[5, 67]","[7, 85]","[5, 34]","[73, 96]","[94, 100]","[99, 100]",1755,759,0.4324786324786325
