run A,run B,counts key,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,%verbatimCollectors non N/A,%collectedBy non N/A,%secondaryCollectors non N/A,%recordNumber non N/A,%verbatimEventDate non N/A,%minimumEventDate non N/A,%maximumEventDate non N/A,%verbatimIdentification non N/A,%latestScientificName non N/A,%identifiedBy non N/A,%verbatimDateIdentified non N/A,%associatedTaxa non N/A,%country non N/A,%firstPoliticalUnit non N/A,%secondPoliticalUnit non N/A,%municipality non N/A,%verbatimLocality non N/A,%locality non N/A,%habitat non N/A,%verbatimElevation non N/A,%verbatimCoordinates non N/A,%otherCatalogNumbers non N/A,%originalMethod non N/A,%typeStatus non N/A,"SUM diffs(A,B)",SUM targets,SUM non-N/A targets,ratio diff:targets,percent difference,ratio diff:non-N/A targets,percent diff non-N/A targets
Spread_6_11_1050.csv,Spread_6_11_1110.csv,"[num diff, all targets, non N/A targets]","[19, 100, 100]","[12, 100, 100]","[9, 100, 28]","[8, 100, 100]","[7, 100, 100]","[5, 100, 99]","[1, 100, 4]","[7, 100, 100]","[7, 100, 100]","[9, 100, 77]","[13, 100, 33]","[1, 100, 1]","[0, 100, 100]","[1, 100, 90]","[3, 100, 25]","[7, 100, 16]","[38, 100, 100]","[36, 100, 100]","[22, 100, 67]","[14, 100, 85]","[10, 100, 34]","[11, 100, 96]","[5, 100, 100]","[0, 100, 100]",19,12,32.14285714,8,7,5.050505051,25,7,7,11.68831169,39.39393939,100,0,1.111111111,12,43.75,38,36,32.8358209,16.47058824,29.41176471,11.45833333,5,0,245,2400,1755,245:2400,10.20833333,245:1755,13.96011396
Spread_6_12_1404.csv,Spread_6_12_1440.csv,"[num diff, all targets, non N/A targets]","[7, 100, 100]","[3, 100, 100]","[0, 100, 28]","[6, 100, 100]","[5, 100, 100]","[4, 100, 99]","[0, 100, 4]","[7, 100, 100]","[4, 100, 100]","[7, 100, 77]","[2, 100, 33]","[0, 100, 1]","[0, 100, 100]","[4, 100, 90]","[1, 100, 25]","[4, 100, 16]","[19, 100, 100]","[13, 100, 100]","[13, 100, 67]","[12, 100, 85]","[2, 100, 34]","[4, 100, 96]","[2, 100, 100]","[1, 100, 100]",7,3,0,6,5,4.04040404,0,7,4,9.090909091,6.060606061,0,0,4.444444444,4,25,19,13,19.40298507,14.11764706,5.882352941,4.166666667,2,1,120,2400,1755,120:2400,5,120:1755,6.837606838
SpreadJun.20.24.0153.csv,SpreadJun.26.24.1108.csv,"[num diff, all targets, non N/A targets]","[53, 100, 100]","[42, 100, 100]","[26, 100, 28]","[23, 100, 100]","[18, 100, 100]","[2, 100, 99]","[0, 100, 4]","[48, 100, 100]","[7, 100, 100]","[24, 100, 77]","[5, 100, 33]","[1, 100, 1]","[0, 100, 100]","[12, 100, 90]","[21, 100, 25]","[20, 100, 16]","[72, 100, 100]","[71, 100, 100]","[34, 100, 67]","[48, 100, 85]","[16, 100, 34]","[45, 100, 96]","[35, 100, 100]","[1, 100, 100]",53,42,92.85714286,23,18,2.02020202,0,48,7,31.16883117,15.15151515,100,0,13.33333333,84,125,72,71,50.74626866,56.47058824,47.05882353,46.875,35,1,624,2400,1755,624:2400,26,624:1755,35.55555556
SpreadJun.21.24.1043.csv,SpreadJun.26.24.1050.csv,"[num diff, all targets, non N/A targets]","[4, 100, 100]","[4, 100, 100]","[2, 100, 28]","[1, 100, 100]","[4, 100, 100]","[3, 100, 99]","[0, 100, 4]","[4, 100, 100]","[1, 100, 100]","[2, 100, 77]","[1, 100, 33]","[0, 100, 1]","[0, 100, 100]","[3, 100, 90]","[1, 100, 25]","[0, 100, 16]","[12, 100, 100]","[12, 100, 100]","[6, 100, 67]","[5, 100, 85]","[2, 100, 34]","[1, 100, 96]","[4, 100, 100]","[0, 100, 100]",4,4,7.142857143,1,4,3.03030303,0,4,1,2.597402597,3.03030303,0,0,3.333333333,4,0,12,12,8.955223881,5.882352941,5.882352941,1.041666667,4,0,72,2400,1755,72:2400,3,72:1755,4.102564103
