run,ground truth source,prompt name,configuration source,accessionNumber,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,plantDescription,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy
gpt-4o-2025-04-18-2319-transcriptions.csv,18-mixed-trillo.csv,Prompt 1.5.4.txt,18-mixed-trillo-gpt-4o.yaml,"[1, 1.0, 11]","[0, 1.2, 11]","[8, 9.3, 18]","[10, 10.9, 18]","[7, 7.7, 17]","[1, 6.2, 15]","[2, 2.9, 13]","[7, 10.0, 18]","[2, 6.9, 18]","[0, 0, 7]","[8, 9.8, 18]","[2, 2.0, 11]","[10, 10.2, 18]","[0, 0, 11]","[0, 0.0, 9]","[10, 10.0, 18]","[3, 3.0, 12]","[1, 1.9, 10]","[0, 0, 17]","[5, 8.6, 18]","[1, 2.7, 11]","[1, 1, 10]","[5, 7.0, 14]","[8, 9.5, 18]","[6, 9.6, 18]","[0, 5.1, 18]",98,90,169,110,136.57349154919487,130.42650845080516,188,279,98+90/98+90+169+110,0.4025695931477516,98/98+169+110,0.259946949602122
18-mixed-trillo-transcriptions.csv,18-mixed-trillo.csv,Prompt 1.5.4.txt,18-mixed-trillo-gpt-4o.yaml,"[1, 1, 7]","[0, 1.1, 8]","[11, 14.1, 18]","[14, 15.1, 18]","[6, 7.8, 13]","[2, 8.6, 12]","[3, 5.2, 7]","[11, 15.5, 18]","[2, 6.3, 15]","[0, 0, 0]","[13, 14.1, 18]","[3, 3, 7]","[15, 16.0, 18]","[0, 0, 16]","[0, 0.2, 6]","[13, 13.0, 18]","[1, 2.1, 10]","[1, 2.2, 5]","[0, 0, 18]","[4, 11.7, 18]","[1, 3.7, 5]","[1, 1, 2]","[2, 7.6, 12]","[10, 13.7, 18]","[3, 14.2, 18]","[1, 8.5, 18]",118,140,146,59,185.59225286977463,78.4077471302254,258,205,118+140/118+140+146+59,0.5572354211663066,118/118+146+59,0.3653250773993808
