run,ground truth filename,configuration name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy
gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,gpt-4o-gemini-1.5-pro-cross-validated_values,"[19, 24.8, 28]","[10, 11.9, 13]","[3, 3, 5]","[50, 50.8, 58]","[51, 57.2, 58]","[79, 82.4, 84]","[4, 4, 4]","[27, 30.8, 31]","[69, 76.5, 80]","[3, 8.4, 15]","[19, 19.9, 26]","[0, 0, 2]","[99, 99.2, 100]","[58, 60.9, 64]","[9, 9.1, 12]","[3, 3.7, 13]","[2, 3.1, 5]","[3, 5.8, 7]","[6, 12.5, 24]","[18, 28.5, 33]","[3, 4.8, 6]","[43, 43, 43]","[40, 40.5, 43]","[99, 99, 99]",717,504,121,15,779.811988328433,58.18801167156693,1221,136,717+504/717+504+121+15,0.8997789240972734,717/717+121+15,0.8405627198124267
gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,gpt-4o-gemini-1.5-pro-cross-validated_values,"[18, 21.7, 24]","[11, 11.5, 12]","[2, 2, 4]","[52, 52.8, 60]","[54, 59.5, 60]","[79, 82.4, 84]","[4, 4, 4]","[28, 34.4, 35]","[71, 78.5, 82]","[6, 10.3, 16]","[20, 20.4, 26]","[0, 0, 2]","[99, 99.2, 100]","[58, 60.3, 64]","[9, 9.1, 12]","[2, 2, 12]","[3, 3.3, 4]","[4, 8.1, 10]","[7, 14.4, 28]","[12, 17.8, 21]","[5, 6.8, 8]","[42, 42, 42]","[45, 45.4, 47]","[100, 100, 100]",731,503,110,16,785.8368427844152,55.163157215584626,1234,126,731+503/731+503+110+16,0.9073529411764706,731/731+110+16,0.852975495915986
gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,gpt-4o-gemini-1.5-pro-cross-validated_values,"[19, 23.9, 29]","[10, 11.3, 12]","[3, 3.9, 7]","[47, 48.2, 56]","[51, 58.0, 60]","[79, 82.4, 84]","[4, 4, 4]","[26, 29.8, 30]","[67, 74.0, 77]","[3, 8.2, 14]","[21, 21.9, 28]","[0, 0, 2]","[99, 99.2, 100]","[58, 60.4, 63]","[9, 9.1, 14]","[3, 3.7, 14]","[2, 3.5, 5]","[5, 8.4, 10]","[6, 12.3, 23]","[15, 24.5, 28]","[3, 4.8, 6]","[44, 44, 44]","[41, 41.4, 43]","[99, 99, 99]",714,498,120,18,775.9084382888012,58.09156171119881,1212,138,714+498/714+498+120+18,0.8977777777777778,714/714+120+18,0.8380281690140845
gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,gpt-4o-gemini-1.5-pro-cross-validated_values,"[18, 21.7, 26]","[10, 10, 10]","[2, 2, 4]","[49, 50.2, 58]","[53, 58.7, 60]","[79, 82.4, 84]","[4, 4, 4]","[27, 33.4, 34]","[69, 76.0, 79]","[6, 10.1, 15]","[21, 21.4, 27]","[0, 0, 2]","[99, 99.2, 100]","[58, 59.8, 63]","[9, 9.1, 13]","[2, 2, 11]","[3, 3.9, 5]","[5, 8.7, 11]","[7, 15.4, 27]","[8, 12.8, 15]","[4, 5.8, 7]","[44, 44, 44]","[46, 46.2, 47]","[100, 100, 100]",723,496,105,18,776.9158115448797,51.08418845512,1219,123,723+496/723+496+105+18,0.9083457526080477,723/723+105+18,0.8546099290780141
